Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71920226,1,"Saturday, January 12, 2013 02:11:33 UTC",38.8137,-122.8272,1.0,2.90,24,"Northern California"
ak,10637259,1,"Saturday, January 12, 2013 01:56:35 UTC",62.9239,-150.8806,1.8,75.30,29,"Central Alaska"
ak,10637248,1,"Saturday, January 12, 2013 01:30:43 UTC",64.6851,-149.2481,1.9,0.10,11,"Central Alaska"
ak,10637245,1,"Saturday, January 12, 2013 01:27:56 UTC",64.7314,-149.2436,1.4,18.20,10,"Central Alaska"
ci,15272345,0,"Saturday, January 12, 2013 01:20:19 UTC",34.0400,-116.7415,1.6,11.50,71,"Southern California"
ak,10637232,2,"Saturday, January 12, 2013 00:43:43 UTC",52.1313,-174.7922,2.2,96.60,13,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13012000,0,"Saturday, January 12, 2013 00:42:59 UTC",19.1837,-64.7242,3.0,64.00, 8,"Virgin Islands region"
nc,71920176,0,"Saturday, January 12, 2013 00:34:17 UTC",38.8315,-122.7975,1.0,2.20,18,"Northern California"
ak,10637215,1,"Saturday, January 12, 2013 00:08:17 UTC",65.0128,-147.3312,1.6,0.10,14,"northern Alaska"
ak,10637210,1,"Friday, January 11, 2013 23:39:07 UTC",60.7414,-151.6045,1.7,88.50, 6,"Kenai Peninsula, Alaska"
ci,15272337,0,"Friday, January 11, 2013 23:37:07 UTC",33.4980,-117.2227,1.5,18.60,17,"Southern California"
nc,71920166,2,"Friday, January 11, 2013 23:32:16 UTC",37.5030,-118.8128,1.0,8.00,23,"Central California"
pr,13011009,0,"Friday, January 11, 2013 23:19:13 UTC",19.7198,-64.3291,3.1,47.00, 6,"Virgin Islands region"
pr,13011007,0,"Friday, January 11, 2013 22:46:33 UTC",19.1180,-65.1791,3.1,82.00, 6,"Puerto Rico region"
ak,10637185,1,"Friday, January 11, 2013 22:30:27 UTC",62.2514,-150.0237,1.7,34.00,14,"Central Alaska"
uw,60490937,1,"Friday, January 11, 2013 22:20:31 UTC",49.3860,-120.4967,2.5,0.00, 9,"British Columbia, Canada"
mb,13325617,2,"Friday, January 11, 2013 22:15:09 UTC",47.4516,-115.9670,1.5,2.00,11,"northern Idaho"
ak,10637180,1,"Friday, January 11, 2013 21:59:37 UTC",60.2969,-152.1891,1.4,74.60, 7,"Southern Alaska"
nc,71920121,1,"Friday, January 11, 2013 21:49:21 UTC",38.7867,-122.7635,1.2,1.90,22,"Northern California"
pr,13011008,0,"Friday, January 11, 2013 21:45:10 UTC",19.0540,-64.0481,3.2,101.00, 6,"Virgin Islands region"
nc,71920116,4,"Friday, January 11, 2013 21:33:27 UTC",36.8863,-121.6098,1.4,0.00,12,"Central California"
nc,71920111,0,"Friday, January 11, 2013 21:28:07 UTC",38.8237,-122.7905,1.1,3.10,21,"Northern California"
ak,10637171,2,"Friday, January 11, 2013 21:25:14 UTC",51.4782,-175.9847,1.9,22.70,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10637163,2,"Friday, January 11, 2013 21:11:26 UTC",51.6564,-175.7708,2.9,45.20,17,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60490917,1,"Friday, January 11, 2013 20:39:51 UTC",46.9453,-119.0548,1.5,0.00,14,"Washington"
ci,15272329,0,"Friday, January 11, 2013 20:33:45 UTC",33.5072,-116.5112,1.6,14.30,64,"Southern California"
us,b000emif,6,"Friday, January 11, 2013 20:32:52 UTC",15.5017,-91.6299,4.9,229.30,285,"Guatemala"
ci,15272321,0,"Friday, January 11, 2013 20:25:23 UTC",33.4988,-116.5120,1.1,14.90,43,"Southern California"
nc,71920066,0,"Friday, January 11, 2013 20:19:11 UTC",38.8307,-122.7577,1.2,1.90,18,"Northern California"
hv,60449346,1,"Friday, January 11, 2013 20:16:33 UTC",19.2785,-155.2093,1.7,6.50,18,"Island of Hawaii, Hawaii"
ci,15272313,0,"Friday, January 11, 2013 20:06:28 UTC",33.4443,-116.6090,1.6,0.20,12,"Southern California"
ak,10637144,1,"Friday, January 11, 2013 20:04:17 UTC",63.1424,-151.3216,2.4,0.00,26,"Central Alaska"
ak,10637137,1,"Friday, January 11, 2013 19:47:13 UTC",63.0181,-151.4610,1.8,2.50,12,"Central Alaska"
ak,10637132,1,"Friday, January 11, 2013 19:45:10 UTC",63.3007,-151.5672,2.4,0.10,23,"Central Alaska"
hv,60449326,1,"Friday, January 11, 2013 19:38:25 UTC",19.2973,-155.2148,2.0,4.40,23,"Island of Hawaii, Hawaii"
nc,71920031,1,"Friday, January 11, 2013 19:37:49 UTC",38.8225,-122.8080,1.4,3.20,23,"Northern California"
ak,10637123,2,"Friday, January 11, 2013 19:32:44 UTC",59.6461,-133.7324,1.5,5.00, 7,"British Columbia, Canada"
hv,60449321,2,"Friday, January 11, 2013 19:32:36 UTC",19.2905,-155.2125,2.5,8.40,40,"Island of Hawaii, Hawaii"
nc,71920011,2,"Friday, January 11, 2013 19:07:02 UTC",36.9663,-121.6232,1.3,5.20,25,"Northern California"
pr,13011005,0,"Friday, January 11, 2013 19:00:00 UTC",18.2075,-67.8320,2.9,11.00, 6,"Mona Passage, Puerto Rico"
ak,10637109,1,"Friday, January 11, 2013 18:44:54 UTC",59.9897,-141.5598,2.1,26.40, 7,"Southeastern Alaska"
ak,10637096,2,"Friday, January 11, 2013 18:19:16 UTC",59.6817,-153.4843,2.6,124.90,50,"Southern Alaska"
us,b000emgd,6,"Friday, January 11, 2013 18:17:16 UTC",52.1713,-170.8039,3.5,28.30, 0,"Fox Islands, Aleutian Islands, Alaska"
ci,15272273,0,"Friday, January 11, 2013 17:55:55 UTC",33.3565,-116.3953,1.3,14.60,52,"Southern California"
ci,15272265,0,"Friday, January 11, 2013 17:35:06 UTC",33.8333,-117.2058,1.3,3.60,11,"Greater Los Angeles area, California"
ak,10637078,1,"Friday, January 11, 2013 17:23:54 UTC",64.8808,-151.4919,1.7,0.10, 6,"Central Alaska"
pr,13011006,0,"Friday, January 11, 2013 17:09:51 UTC",19.0077,-65.1716,2.9,81.00, 4,"Puerto Rico region"
ci,15272257,0,"Friday, January 11, 2013 17:02:35 UTC",32.6497,-115.7083,1.8,8.50,23,"Southern California"
ak,10637070,1,"Friday, January 11, 2013 16:53:37 UTC",62.0607,-147.7666,1.7,28.80,13,"Central Alaska"
us,b000emck,8,"Friday, January 11, 2013 16:30:44 UTC",14.8825,-92.6111,5.1,90.40,99,"offshore Chiapas, Mexico"
ak,10637060,1,"Friday, January 11, 2013 15:50:11 UTC",61.4439,-151.2077,2.1,2.20,16,"Southern Alaska"
